fish_samples,tank_samples,ExptlTimePoint,FedStarved,TimeFedStarved
0S.F1a,0dpS.1Fm-a,0S,fed,0Sfed
0S.F1a,0dpS.1Fm-b,0S,fed,0Sfed
0S.F1b,0dpS.1Fm-a,0S,fed,0Sfed
0S.F1b,0dpS.1Fm-b,0S,fed,0Sfed
0S.F1c,0dpS.1Fm-a,0S,fed,0Sfed
0S.F1c,0dpS.1Fm-b,0S,fed,0Sfed
0S.F1d,0dpS.1Fm-a,0S,fed,0Sfed
0S.F1d,0dpS.1Fm-b,0S,fed,0Sfed
0S.F1e,0dpS.1Fm-a,0S,fed,0Sfed
0S.F1e,0dpS.1Fm-b,0S,fed,0Sfed
0S.F1f,0dpS.1Fm-a,0S,fed,0Sfed
0S.F1f,0dpS.1Fm-b,0S,fed,0Sfed
0S.F2a,0dpS.2Fm-a,0S,fed,0Sfed
0S.F2a,0dpS.2Fm-b,0S,fed,0Sfed
0S.F2b,0dpS.2Fm-a,0S,fed,0Sfed
0S.F2b,0dpS.2Fm-b,0S,fed,0Sfed
0S.F2c,0dpS.2Fm-a,0S,fed,0Sfed
0S.F2c,0dpS.2Fm-b,0S,fed,0Sfed
0S.F2d,0dpS.2Fm-a,0S,fed,0Sfed
0S.F2d,0dpS.2Fm-b,0S,fed,0Sfed
0S.F2e,0dpS.2Fm-a,0S,fed,0Sfed
0S.F2e,0dpS.2Fm-b,0S,fed,0Sfed
0S.F2f,0dpS.2Fm-a,0S,fed,0Sfed
0S.F2f,0dpS.2Fm-b,0S,fed,0Sfed
0S.F3a,0dpS.3Fm-a,0S,fed,0Sfed
0S.F3a,0dpS.3Fm-b,0S,fed,0Sfed
0S.F3b,0dpS.3Fm-a,0S,fed,0Sfed
0S.F3b,0dpS.3Fm-b,0S,fed,0Sfed
0S.F3c,0dpS.3Fm-a,0S,fed,0Sfed
0S.F3c,0dpS.3Fm-b,0S,fed,0Sfed
0S.F3d,0dpS.3Fm-a,0S,fed,0Sfed
0S.F3d,0dpS.3Fm-b,0S,fed,0Sfed
0S.F3e,0dpS.3Fm-a,0S,fed,0Sfed
0S.F3e,0dpS.3Fm-b,0S,fed,0Sfed
0S.F3f,0dpS.3Fm-a,0S,fed,0Sfed
0S.F3f,0dpS.3Fm-b,0S,fed,0Sfed
0S.F4a,0dpS.4Fm-a,0S,fed,0Sfed
0S.F4a,0dpS.4Fm-b,0S,fed,0Sfed
0S.F4b,0dpS.4Fm-a,0S,fed,0Sfed
0S.F4b,0dpS.4Fm-b,0S,fed,0Sfed
0S.F4c,0dpS.4Fm-a,0S,fed,0Sfed
0S.F4c,0dpS.4Fm-b,0S,fed,0Sfed
0S.F4d,0dpS.4Fm-a,0S,fed,0Sfed
0S.F4d,0dpS.4Fm-b,0S,fed,0Sfed
0S.F4e,0dpS.4Fm-a,0S,fed,0Sfed
0S.F4e,0dpS.4Fm-b,0S,fed,0Sfed
