fish_samples,tank_samples,ExptlTimePoint,FedStarved,TimeFedStarved
0S.S1a,0dpS.1Sm-a,0S,starved,0Sstarved
0S.S1a,0dpS.1Sm-b,0S,starved,0Sstarved
0S.S1b,0dpS.1Sm-a,0S,starved,0Sstarved
0S.S1b,0dpS.1Sm-b,0S,starved,0Sstarved
0S.S1c,0dpS.1Sm-a,0S,starved,0Sstarved
0S.S1c,0dpS.1Sm-b,0S,starved,0Sstarved
0S.S1d,0dpS.1Sm-a,0S,starved,0Sstarved
0S.S1d,0dpS.1Sm-b,0S,starved,0Sstarved
0S.S1e,0dpS.1Sm-a,0S,starved,0Sstarved
0S.S1e,0dpS.1Sm-b,0S,starved,0Sstarved
0S.S1f,0dpS.1Sm-a,0S,starved,0Sstarved
0S.S1f,0dpS.1Sm-b,0S,starved,0Sstarved
0S.S2a,0dpS.2Sm-a,0S,starved,0Sstarved
0S.S2a,0dpS.2Sm-b,0S,starved,0Sstarved
0S.S2b,0dpS.2Sm-a,0S,starved,0Sstarved
0S.S2b,0dpS.2Sm-b,0S,starved,0Sstarved
0S.S2c,0dpS.2Sm-a,0S,starved,0Sstarved
0S.S2c,0dpS.2Sm-b,0S,starved,0Sstarved
0S.S2d,0dpS.2Sm-a,0S,starved,0Sstarved
0S.S2d,0dpS.2Sm-b,0S,starved,0Sstarved
0S.S2e,0dpS.2Sm-a,0S,starved,0Sstarved
0S.S2e,0dpS.2Sm-b,0S,starved,0Sstarved
0S.S2f,0dpS.2Sm-a,0S,starved,0Sstarved
0S.S2f,0dpS.2Sm-b,0S,starved,0Sstarved
0S.S3a,0dpS.3Sm-a,0S,starved,0Sstarved
0S.S3a,0dpS.3Sm-b,0S,starved,0Sstarved
0S.S3b,0dpS.3Sm-a,0S,starved,0Sstarved
0S.S3b,0dpS.3Sm-b,0S,starved,0Sstarved
0S.S3c,0dpS.3Sm-a,0S,starved,0Sstarved
0S.S3c,0dpS.3Sm-b,0S,starved,0Sstarved
0S.S3d,0dpS.3Sm-a,0S,starved,0Sstarved
0S.S3d,0dpS.3Sm-b,0S,starved,0Sstarved
0S.S3e,0dpS.3Sm-a,0S,starved,0Sstarved
0S.S3e,0dpS.3Sm-b,0S,starved,0Sstarved
0S.S3f,0dpS.3Sm-a,0S,starved,0Sstarved
0S.S3f,0dpS.3Sm-b,0S,starved,0Sstarved
0S.S4a,0dpS.4Sm-a,0S,starved,0Sstarved
0S.S4a,0dpS.4Sm-b,0S,starved,0Sstarved
0S.S4b,0dpS.4Sm-a,0S,starved,0Sstarved
0S.S4b,0dpS.4Sm-b,0S,starved,0Sstarved
0S.S4c,0dpS.4Sm-a,0S,starved,0Sstarved
0S.S4c,0dpS.4Sm-b,0S,starved,0Sstarved
0S.S4d,0dpS.4Sm-a,0S,starved,0Sstarved
0S.S4d,0dpS.4Sm-b,0S,starved,0Sstarved
0S.S4e,0dpS.4Sm-a,0S,starved,0Sstarved
0S.S4e,0dpS.4Sm-b,0S,starved,0Sstarved
0S.S4f,0dpS.4Sm-a,0S,starved,0Sstarved
0S.S4f,0dpS.4Sm-b,0S,starved,0Sstarved
1R.S1a,1dpR.1Sm-a,1R,starved,1Rstarved
1R.S1a,1dpR.1Sm-b,1R,starved,1Rstarved
1R.S1b,1dpR.1Sm-a,1R,starved,1Rstarved
1R.S1b,1dpR.1Sm-b,1R,starved,1Rstarved
1R.S1c,1dpR.1Sm-a,1R,starved,1Rstarved
1R.S1c,1dpR.1Sm-b,1R,starved,1Rstarved
1R.S1d,1dpR.1Sm-a,1R,starved,1Rstarved
1R.S1d,1dpR.1Sm-b,1R,starved,1Rstarved
1R.S1e,1dpR.1Sm-a,1R,starved,1Rstarved
1R.S1e,1dpR.1Sm-b,1R,starved,1Rstarved
1R.S1f,1dpR.1Sm-a,1R,starved,1Rstarved
1R.S1f,1dpR.1Sm-b,1R,starved,1Rstarved
1R.S2a,1dpR.2Sm-a,1R,starved,1Rstarved
1R.S2a,1dpR.2Sm-b,1R,starved,1Rstarved
1R.S2b,1dpR.2Sm-a,1R,starved,1Rstarved
1R.S2b,1dpR.2Sm-b,1R,starved,1Rstarved
1R.S2c,1dpR.2Sm-a,1R,starved,1Rstarved
1R.S2c,1dpR.2Sm-b,1R,starved,1Rstarved
1R.S2d,1dpR.2Sm-a,1R,starved,1Rstarved
1R.S2d,1dpR.2Sm-b,1R,starved,1Rstarved
